rank,market,period,median_sale_price,median_sale_price_yoy,inventory,inventory_yoy,new_listings,homes_sold,median_dom,median_dom_yoy,months_of_supply,pending_sales,pending_sales_yoy,health_score,health_bucket,dealability_score,bucket,data_source
1,"Staunton, VA",2025-11,331550,-0.3%,239,-2.4%,125,121,39,107.1%,1.98,114,22.6%,74,BULLISH,85.7,GO DEEP,master_tsv
2,"Harrisonburg, VA",2025-11,355149,-0.8%,154,51.0%,57,60,18,-62.0%,2.57,52,-27.8%,73,BULLISH,85.2,GO DEEP,master_tsv
3,"Roanoke Rapids, NC",2025-11,198466,31.8%,76,230.4%,7,15,49,-28.5%,5.07,13,160.0%,87,BULLISH,82.3,GO DEEP,master_tsv
4,"Roanoke, VA",2025-11,307428,-2.8%,667,51.9%,233,229,25,,2.91,225,3.2%,67,SLIGHTLY_BULLISH,81.8,GO DEEP,C:\Users\1\Documents\GitHub\realtor monthly data analysis\roanoke_cities_filtered.tsv
5,"Parkersburg, WV",2025-11,181716,9.1%,140,-0.7%,36,37,58,-3.7%,3.78,57,32.6%,74,BULLISH,81.8,GO DEEP,master_tsv
6,"North Wilkesboro, NC",2025-11,275590,10.5%,40,-21.6%,10,10,50,-20.9%,4.0,13,30.0%,87,BULLISH,80.8,GO DEEP,master_tsv
7,"Wilson, NC",2025-11,257542,1.9%,198,1.0%,43,35,39,-11.3%,5.66,42,2.4%,73,BULLISH,80.7,GO DEEP,master_tsv
8,"Huntington, WV",2025-11,206714,11.9%,377,-5.3%,122,97,42,-34.6%,3.89,112,-14.5%,60,SLIGHTLY_BULLISH,78.0,GO DEEP,master_tsv
9,"Wheeling, WV",2025-11,150973,-4.5%,225,-14.1%,52,60,55,4.9%,3.75,60,3.4%,60,SLIGHTLY_BULLISH,78.0,GO DEEP,master_tsv
10,"Charlottesville, VA",2025-11,529598,5.7%,316,5.3%,129,97,44,-0.9%,3.26,131,-2.2%,60,SLIGHTLY_BULLISH,78.0,GO DEEP,master_tsv
11,"Lynchburg, VA",2025-11,279373,-3.8%,374,7.2%,163,152,41,48.5%,2.46,159,8.9%,60,SLIGHTLY_BULLISH,78.0,GO DEEP,master_tsv
12,"Goldsboro, NC",2025-11,241229,33.2%,168,13.5%,41,36,37,-4.6%,4.67,34,-15.0%,60,SLIGHTLY_BULLISH,73.8,GO DEEP,master_tsv
13,"Greeneville, TN",2025-11,273496,-2.0%,136,15.3%,28,32,69,20.6%,4.25,39,95.0%,61,SLIGHTLY_BULLISH,73.2,GO DEEP,master_tsv
14,"Point Pleasant, WV",2025-11,220000,20.2%,10,-50.0%,2,5,39,-34.2%,2.0,7,-12.5%,73,BULLISH,71.7,GO DEEP,master_tsv
15,"Charlotte, NC",2025-11,431896,2.3%,8922,9.9%,2124,1980,68,,4.51,0,,48,NEUTRAL,71.4,GO DEEP,C:\Users\1\Documents\GitHub\realtor monthly data analysis\charlotte_cities_filtered.tsv
16,"Charleston, WV",2025-11,165385,-9.2%,243,3.4%,96,83,46,86.5%,2.93,92,-8.9%,47,NEUTRAL,70.8,GO DEEP,master_tsv
17,"Blacksburg, VA",2025-11,317578,5.8%,207,23.2%,80,95,37,32.7%,2.18,82,-7.9%,47,NEUTRAL,70.8,GO DEEP,master_tsv
18,"Richmond, VA",2025-11,375110,-3.0%,1403,-1.9%,584,686,31,50.0%,2.05,680,-6.6%,47,NEUTRAL,70.8,GO DEEP,master_tsv
19,"Virginia Beach, VA",2025-11,365443,4.1%,3885,-0.8%,1668,1514,41,15.2%,2.57,1755,-0.2%,47,NEUTRAL,70.8,GO DEEP,master_tsv
20,"Johnson City, TN",2025-11,295368,7.4%,554,18.6%,153,149,60,14.3%,3.72,179,9.1%,47,NEUTRAL,70.8,GO DEEP,master_tsv
21,"Asheville, NC",2025-11,446074,-12.5%,1846,36.0%,316,338,89,0.8%,5.46,339,0.3%,47,NEUTRAL,70.8,GO DEEP,master_tsv
