rank,market,metro_code,period,distressed_fit_score,decision_band,disqualified_reason,distress_inflow_idx,rehab_risk_idx,spread_reliability_idx,exit_liquidity_idx,investor_depth_idx,competition_pressure_idx,median_sale_price,median_sale_price_yoy,inventory,inventory_yoy,homes_sold,median_dom,months_of_supply,pending_sales_yoy,data_quality_flag,source_mix
1,"Virginia Beach, VA",47260,2025-12,69.9,PRIORITY_WATCH,,30.5,70.0,98.4,84.6,92.5,29.2,367388.2943125345,0.0493,3384.0,-0.0706,1811.0,46.74820541137493,1.868580894533407,0.0384,PARTIAL_EXTERNAL,master_tsv
2,"Richmond, VA",40060,2025-12,69.2,PRIORITY_WATCH,,36.9,75.0,95.2,80.6,78.7,29.5,379445.39868421055,-0.0215,1130.0,-0.1206,760.0,29.125,1.486842105263158,-0.1036,PARTIAL_EXTERNAL,master_tsv
3,"Raleigh, NC",39580,2025-12,68.2,PRIORITY_WATCH,,44.9,61.2,98.3,75.3,73.5,46.2,448754.0387228261,-0.0478,3527.0,0.1867,1472.0,62.119565217391305,2.396059782608696,0.0288,PARTIAL_EXTERNAL,master_tsv
4,"Fayetteville, NC",22180,2025-12,65.2,PRIORITY_WATCH,,46.7,63.2,100.0,61.0,69.6,32.6,272051.7349081365,0.0121,1376.0,0.1592,381.0,61.031496062992126,3.611548556430446,-0.1008,PARTIAL_EXTERNAL,master_tsv
5,"Greensboro, NC",24660,2025-12,65.2,PRIORITY_WATCH,,37.5,63.2,95.8,71.4,79.0,29.2,300339.44444444444,0.0785,1474.0,0.0358,540.0,59.04259259259259,2.72962962962963,-0.0659,PARTIAL_EXTERNAL,master_tsv
6,"Winston-Salem, NC",49180,2025-12,63.9,WATCH,,41.0,63.8,95.7,64.8,67.4,35.3,292529.902200489,0.0133,1231.0,0.1011,409.0,56.90220048899756,3.0097799511002443,0.0490,PARTIAL_EXTERNAL,master_tsv
7,"Charlotte, NC",16740,2025-12,63.6,WATCH,,38.8,55.4,98.1,71.6,82.5,49.4,432302.19274092617,0.0571,7625.0,0.0820,2397.0,75.62494785148102,3.1810596579057155,,PARTIAL_EXTERNAL,master_tsv
8,"Durham, NC",20500,2025-12,61.0,WATCH,,46.1,62.0,99.7,52.2,30.2,65.0,438354.67980295565,0.0111,1109.0,0.3187,406.0,57.8743842364532,2.731527093596059,0.1480,PARTIAL_EXTERNAL,master_tsv
9,"Roanoke, VA",40220,2025-12,60.1,WATCH,,58.7,74.7,66.1,62.8,40.8,31.3,342771.9827586207,0.1338,587.0,0.5529,232.0,36.4698275862069,2.5301724137931036,-0.0828,PARTIAL_EXTERNAL,master_tsv
10,"Lynchburg, VA",31340,2025-12,59.6,WATCH,,38.0,71.2,94.9,61.1,31.6,32.5,280218.5816993464,0.0699,316.0,-0.0247,153.0,41.287581699346404,2.065359477124183,-0.0972,PARTIAL_EXTERNAL,master_tsv
11,"Harrisonburg, VA",25500,2025-12,57.9,WATCH,,45.4,73.1,88.4,54.4,16.4,41.0,352144.48529411765,0.0537,120.0,0.2903,68.0,37.10294117647059,1.7647058823529411,0.3250,PARTIAL_EXTERNAL,master_tsv
12,"Rocky Mount, NC",40580,2025-12,56.6,WATCH,,69.2,66.9,68.4,51.9,16.5,37.9,220595.2380952381,-0.0548,302.0,0.3543,63.0,44.142857142857146,4.7936507936507935,-0.4194,PARTIAL_EXTERNAL,master_tsv
